step,scenario_id,device_type,network_condition,cloud_condition,edge_cpu,edge_ram,edge_battery,bandwidth,latency,queue_delay,workload_cpu,workload_ram,workload_energy,cloud_workload
11,5,smartphone,moderate,moderate,61.25,27.17,99.42,46.0,24.11,11.72,22.06,3.41,0.77,4.46
12,5,smartphone,moderate,moderate,63.47,27.08,99.36,47.42,24.07,11.66,21.74,5.18,1.42,3.77
13,5,smartphone,moderate,moderate,61.2,27.2,99.3,45.81,23.76,11.63,20.11,5.36,1.21,4.5
14,5,smartphone,moderate,moderate,51.1,26.25,99.26,41.95,24.28,11.58,10.33,4.22,0.85,5.9
15,5,smartphone,moderate,moderate,60.5,25.34,99.22,41.53,25.18,11.63,23.81,3.64,0.64,3.45
16,5,smartphone,moderate,moderate,55.71,25.41,99.18,44.07,25.33,11.72,15.89,4.33,0.5,3.25
17,5,smartphone,moderate,moderate,49.74,26.47,99.14,45.95,25.23,11.74,12.72,5.56,0.99,5.08
18,5,smartphone,moderate,moderate,54.3,27.39,99.1,42.63,25.4,11.78,17.92,5.82,0.51,4.99
19,5,smartphone,moderate,moderate,61.28,29.07,99.06,44.72,25.21,11.86,23.01,7.39,0.73,3.58
0,6,smartphone,moderate,busy,39.19,23.52,99.95,48.85,23.67,25.51,18.22,3.66,1.21,7.99
1,6,smartphone,moderate,busy,43.31,27.46,99.89,51.36,22.98,26.4,12.48,7.83,1.37,7.89
2,6,smartphone,moderate,busy,45.22,27.65,99.84,51.44,23.0,27.54,13.27,5.56,1.35,6.34
3,6,smartphone,moderate,busy,50.89,26.14,99.8,52.46,22.69,28.81,17.48,3.82,0.63,6.61
4,6,smartphone,moderate,busy,50.06,26.43,99.74,55.16,21.59,30.87,15.09,4.69,1.34,9.92
5,6,smartphone,moderate,busy,48.76,25.54,99.69,53.17,21.55,33.23,14.24,3.69,1.15,7.32
6,6,smartphone,moderate,busy,57.76,27.7,99.65,50.97,21.34,35.79,22.23,6.91,0.78,8.43
7,6,smartphone,moderate,busy,50.26,25.88,99.61,50.24,21.56,38.16,11.75,3.58,0.65,8.77
8,6,smartphone,moderate,busy,50.07,26.05,99.56,51.56,21.28,40.93,14.79,5.15,1.27,9.18
